,Entry,Gene Names_x,Entry Name,Protein names,Organism,Mass
10,G2Q605,MYCTH_2297503,G2Q605_THET4,ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),86112
11,G2Q630,MYCTH_2299427,G2Q630_THET4,Ribokinase (RK) (EC 2.7.1.15),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),36333
12,G2Q7C5,MYCTH_2300482,G2Q7C5_THET4,Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain],Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),126000
13,G2Q8E3,MYCTH_2302775,G2Q8E3_THET4,DNA replication licensing factor MCM2 (EC 3.6.4.12),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),98689
14,G2Q9A5,MYCTH_78013,MYCA_THET4,Hybrid PKS-NRPS synthetase mycA (EC 2.3.1.-) (EC 6.3.2.-) (Myceliothermophin biosynthesis cluster protein A),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),434115
15,G2Q9C0,MYCTH_2301226,G2Q9C0_THET4,Uncharacterized protein,Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),181341
16,G2Q9T3,MYCTH_46583,CEL61_THET4,Polysaccharide monooxygenase Cel61a (Cellulase-61a) (Cel61a) (Endoglucanase-61a) (Glycoside hydrolase-61) (GH-61) (EC 1.13.-.-),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),34936
17,G2QAI0,MYCTH_2300159,G2QAI0_THET4,non-specific serine/threonine protein kinase (EC 2.7.11.1),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),81131
18,G2QAW9,MYCTH_2302034,G2QAW9_THET4,"Phosphatidylserine decarboxylase proenzyme 1, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 1 beta chain; Phosphatidylserine decarboxylase 1 alpha chain]",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),45048
19,G2QBB5,MYCTH_2304561,G2QBB5_THET4,Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),52539
20,G2QBV0,MYCTH_115624,G2QBV0_THET4,Serine/threonine-protein kinase Tel1 (EC 2.7.11.1),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),311106
21,G2QCB0,MYCTH_2303251,G2QCB0_THET4,Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),60689
22,G2QCS4,MYCTH_111372,CEL7A_THET4,"Endoglucanase 7a (EC 3.2.1.4) (Cellulase 7a) (Endo-1,4-beta-glucanase 7a)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),48667
23,G2QFD0,MYCTH_2063133,LMCO1_THET4,Laccase-like multicopper oxidase 1 (LMCO) (EC 1.-.-.-),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),72050
24,G2QI25,MYCTH_2309210,G2QI25_THET4,Dihydrolipoyl dehydrogenase (EC 1.8.1.4),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),54098
25,G2QJG6,MYCTH_2139989,G2QJG6_THET4,DNA polymerase epsilon catalytic subunit (EC 2.7.7.7),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),257600
26,G2QJR6,MYCTH_55568,GCE2_THET4,4-O-methyl-glucuronoyl methylesterase (EC 3.1.1.117) (Glucuronoyl esterase 2) (GE2),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),41752
27,G2QK54,MYCTH_2308682,G2QK54_THET4,RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),118398
28,G2QKA5,MYCTH_2308790,G2QKA5_THET4,Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),44822
29,G2QPP1,MYCTH_2316525,G2QPP1_THET4,Adenylate kinase (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate kinase cytosolic and mitochondrial) (Adenylate monophosphate kinase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),30148
30,G2PZN1,MYCTH_2294003,G2PZN1_THET4,"GTP:AMP phosphotransferase, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),29629
31,G2PZU9,MYCTH_2295948,G2PZU9_THET4,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit TRM82 (Transfer RNA methyltransferase 82),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),58862
32,G2PZZ6,MYCTH_2297869,G2PZZ6_THET4,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Glu-AdT subunit A) (EC 6.3.5.7)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),62664
33,G2Q038,MYCTH_2297984,G2Q038_THET4,Phospholipid-transporting ATPase (EC 7.6.2.1),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),172571
34,G2Q0G1,MYCTH_2296069,G2Q0G1_THET4,Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),20731
35,G2Q0H7,MYCTH_2296109,G2Q0H7_THET4,Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),104421
36,G2Q0K2,MYCTH_2296153,G2Q0K2_THET4,Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)],Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),94439
37,G2Q0R9,MYCTH_2294261,G2Q0R9_THET4,Molybdopterin synthase sulfur carrier subunit (Common component for nitrate reductase and xanthine dehydrogenase protein G) (Molybdenum cofactor synthesis protein 2 small subunit) (Molybdenum cofactor synthesis protein 2A) (Sulfur carrier protein MOCS2A) (MOCS2A),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),10656
38,G2Q0V9,MYCTH_2294347,G2Q0V9_THET4,"alpha-1,2-Mannosidase (EC 3.2.1.-)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),121729
39,G2Q0X6,MYCTH_2296179,G2Q0X6_THET4,Urease (EC 3.5.1.5) (Urea amidohydrolase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),84972
40,G2Q0Y8,MYCTH_2296210,G2Q0Y8_THET4,Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),57255
41,G2Q104,MYCTH_2296247,G2Q104_THET4,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),57129
42,G2Q122,MYCTH_2298121,G2Q122_THET4,Importin N-terminal domain-containing protein,Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),96436
43,G2Q1G0,MYCTH_63343,G2Q1G0_THET4,"tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein) (tRNA threonylcarbamoyladenosine biosynthesis protein)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),185073
44,G2Q1G3,MYCTH_2296376,G2Q1G3_THET4,tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),53404
45,G2Q1H8,MYCTH_2296412,G2Q1H8_THET4,ATP-dependent DNA helicase (EC 3.6.4.12),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),123553
46,G2Q1I1,MYCTH_2296424,G2Q1I1_THET4,Dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),88552
47,G2Q1I5,MYCTH_2298247,G2Q1I5_THET4,DNA polymerase (EC 2.7.7.7),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),197186
48,G2Q1K0,MYCTH_2298287,G2Q1K0_THET4,PAN2-PAN3 deadenylation complex subunit PAN3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),71309
49,G2Q1N4,MYCTH_38558,XY30A_THET4,GH30 family xylanase (EC 3.2.1.-),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),50883
50,G2Q1P1,MYCTH_2294483,G2Q1P1_THET4,Palmitoyltransferase PFA4 (EC 2.3.1.225) (Protein S-acyltransferase) (PAT) (Protein fatty acyltransferase 4),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),54470
51,G2Q1W0,MYCTH_2296480,G2Q1W0_THET4,Uncharacterized protein,Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),88364
52,G2Q275,MYCTH_2294679,G2Q275_THET4,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),71117
53,G2Q2B2,MYCTH_2296595,G2Q2B2_THET4,Protein phosphatase PP2A regulatory subunit B,Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),54157
54,G2Q2D7,MYCTH_77206,G2Q2D7_THET4,Probable acetate kinase (EC 2.7.2.1) (Acetokinase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),48358
55,G2Q2E9,MYCTH_2313750,G2Q2E9_THET4,Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),51730
56,G2Q2I2,MYCTH_2298562,G2Q2I2_THET4,MoaB/Mog domain-containing protein,Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),73591
57,G2Q2N1,MYCTH_2294784,G2Q2N1_THET4,Ribosome biogenesis protein ERB1 (Eukaryotic ribosome biogenesis protein 1),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),88232
58,G2Q2Q6,MYCTH_2294830,G2Q2Q6_THET4,phosphoinositide 5-phosphatase (EC 3.1.3.36),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),147096
59,G2Q2Y6,MYCTH_2298672,G2Q2Y6_THET4,DNA replication licensing factor MCM3 (EC 3.6.4.12),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),101263
60,G2Q324,MYCTH_2294863,G2Q324_THET4,"alpha-1,2-Mannosidase (EC 3.2.1.-)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),91248
61,G2Q369,MYCTH_2294998,G2Q369_THET4,Molybdenum cofactor sulfurase (MCS) (MOS) (MoCo sulfurase) (EC 2.8.1.9) (Molybdenum cofactor sulfurtransferase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),89757
62,G2Q373,MYCTH_2295009,G2Q373_THET4,Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),29126
63,G2Q3D4,MYCTH_2298766,G2Q3D4_THET4,Phosphatidylethanolamine N-methyltransferase (PE methyltransferase) (PEAMT) (PEMT) (EC 2.1.1.17),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),107152
64,G2Q3D6,MYCTH_2314155,G2Q3D6_THET4,Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Translation initiation factor eIF3 p33 subunit homolog) (eIF3 p33 homolog),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),32489
65,G2Q3J9,MYCTH_2295056,G2Q3J9_THET4,Uridylate kinase (UK) (EC 2.7.4.14) (ATP:UMP phosphotransferase) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Uridine monophosphate kinase) (UMP kinase) (UMPK),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),23580
66,G2Q3K2,MYCTH_2075102,G2Q3K2_THET4,protein-synthesizing GTPase (EC 3.6.5.3),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),55530
67,G2Q3R6,MYCTH_2296974,G2Q3R6_THET4,Ribulose-phosphate 3-epimerase (EC 5.1.3.1),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),27138
68,G2Q3U7,MYCTH_2298894,G2Q3U7_THET4,"Lon protease homolog 2, peroxisomal (EC 3.4.21.-)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),102775
69,G2Q3V1,MYCTH_59853,G2Q3V1_THET4,non-specific serine/threonine protein kinase (EC 2.7.11.1),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),44823
70,G2Q420,MYCTH_2295190,G2Q420_THET4,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),31629
71,G2Q4B1,MYCTH_2298998,G2Q4B1_THET4,ATP-dependent DNA helicase II subunit 1 (EC 3.6.4.12) (ATP-dependent DNA helicase II subunit Ku70),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),71804
72,G2Q4C4,MYCTH_2299023,G2Q4C4_THET4,Uncharacterized protein,Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),245993
73,G2Q4G0,MYCTH_2295289,G2Q4G0_THET4,"Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),87900
74,G2Q4J0,MYCTH_114008,G2Q4J0_THET4,3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),126803
75,G2Q4K6,MYCTH_2295392,G2Q4K6_THET4,Alpha-aminoadipate reductase (EC 1.2.1.31) (EC 1.2.1.95) (L-aminoadipate-semialdehyde dehydrogenase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),119672
76,G2Q4R9,MYCTH_2299100,G2Q4R9_THET4,Lysophospholipase NTE1 (EC 3.1.1.5) (Intracellular phospholipase B),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),165920
77,G2Q4T2,MYCTH_2299125,G2Q4T2_THET4,Deoxyhypusine hydroxylase (DOHH) (EC 1.14.99.29) (Deoxyhypusine dioxygenase) (Deoxyhypusine monooxygenase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),36066
78,G2Q4T4,MYCTH_2299129,G2Q4T4_THET4,ribose-phosphate diphosphokinase (EC 2.7.6.1),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),54669
79,G2Q4W0,MYCTH_2299177,G2Q4W0_THET4,"Lon protease homolog, mitochondrial (EC 3.4.21.53)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),120136
80,G2Q527,MYCTH_2297256,G2Q527_THET4,J domain-containing protein,Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),51107
81,G2Q556,MYCTH_106388,G2Q556_THET4,NAD-dependent protein deacetylase (EC 2.3.1.286),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),46171
82,G2Q579,MYCTH_73682,G2Q579_THET4,DASH complex subunit ASK1 (Associated with spindles and kinetochores protein 1) (Outer kinetochore protein ASK1),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),79994
83,G2Q594,MYCTH_2299273,G2Q594_THET4,Nitrate reductase,Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),99187
84,G2Q5L5,MYCTH_2297436,G2Q5L5_THET4,"Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),46845
85,G2Q5P4,MYCTH_2299349,G2Q5P4_THET4,3-isopropylmalate dehydratase (EC 4.2.1.33) (Alpha-IPM isomerase) (Isopropylmalate isomerase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),82837
86,G2Q5Q4,MYCTH_2299371,G2Q5Q4_THET4,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (N-acetylglucosamine-1-phosphate transferase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),51028
87,G2Q5R3,MYCTH_2299402,G2Q5R3_THET4,chitin synthase (EC 2.4.1.16),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),206450
88,G2Q5U8,MYCTH_2295666,G2Q5U8_THET4,ATP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.93) (ATP-dependent NAD(P)HX dehydratase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),39367
89,G2Q5V4,MYCTH_2295692,G2Q5V4_THET4,Pyruvate carboxylase (EC 6.4.1.1),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),127977
90,G2Q5Y3,MYCTH_2297460,G2Q5Y3_THET4,aspartate-semialdehyde dehydrogenase (EC 1.2.1.11),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),37671
91,G2Q601,MYCTH_92074,G2Q601_THET4,non-specific serine/threonine protein kinase (EC 2.7.11.1),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),278081
92,G2Q690,MYCTH_2313562,G2Q690_THET4,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-)",Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),53234
93,G2Q696,MYCTH_2295747,G2Q696_THET4,DNA helicase (EC 3.6.4.12),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),113729
94,G2Q6A4,MYCTH_2295768,G2Q6A4_THET4,DNA replication licensing factor MCM7 (EC 3.6.4.12),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),93043
95,G2Q6F9,MYCTH_2142160,G2Q6F9_THET4,Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Common component for nitrate reductase and xanthine dehydrogenase protein H) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),18007
96,G2Q6M8,MYCTH_2299597,G2Q6M8_THET4,Acetolactate synthase (EC 2.2.1.6),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),75862
97,G2Q6Q4,MYCTH_2293954,G2Q6Q4_THET4,Folylpolyglutamate synthase (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (Tetrahydrofolylpolyglutamate synthase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),55441
98,G2Q6R9,MYCTH_31411,G2Q6R9_THET4,ATP-dependent RNA helicase (EC 3.6.4.13),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),76170
99,G2Q6U3,MYCTH_76680,G2Q6U3_THET4,Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),59762
100,G2Q790,MYCTH_2300401,G2Q790_THET4,Delta-aminolevulinic acid dehydratase (EC 4.2.1.24),Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799) (Sporotrichum thermophile),41568
